Rank,Name,Neighborhood,Zoning Type,Plot Size,Building Size,Distance to Ocean,Distance to Bay,Max # of Floors,Min # of Floors,Plot Area (m²),Min Building Height (m),Max Building Height (m),Distance to Ocean (m),Distance to Bay (m),tokenId
1130,LM-216,Little Meow,Residential,Nano,Lowrise,Far,Medium,8,7,854,35,43,844,379,43115972595633126178771255681007725931508405339027229462714271294738466090008
1130,LM-218,Little Meow,Residential,Nano,Lowrise,Far,Medium,4,3,1053,16,20,813,514,29701807884204423880714280722879009123518677734496929629250092653572602531596
1130,LM-220,Little Meow,Residential,Nano,Lowrise,Far,Medium,8,6,916,34,42,806,456,73038448465091566725162308711357533668727439608887274273188300877449379267319
1130,LM-221,Little Meow,Residential,Nano,Lowrise,Far,Medium,4,3,945,19,23,795,512,72044185514585892478455941399893819765889530878878770266313063342312973473786
1130,LM-222,Little Meow,Residential,Nano,Lowrise,Far,Medium,3,3,399,15,18,788,585,110798195089329322155859853633540918650900019014040565246113795362657503868511
1130,LM-259,Little Meow,Residential,Nano,Lowrise,Far,Medium,4,3,406,16,20,640,398,23086043063312057782113347160095477595107993170278090625164139574732512628336
1155,LM-10,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1431,16,20,2347,1345,21744168957306789570239817726131432554428320684736516055066596839345436897302
1155,LM-12,Little Meow,Residential,Micro,Lowrise,Far,Far,7,6,1766,31,38,2368,1382,14581369403295245235150786364114218541913302539563723940730145239881950741291
1155,LM-14,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,2101,16,20,2388,1418,74250477338584936730380508925748957698979707288096750768999351260119418793801
1155,LM-18,Little Meow,Residential,Micro,Lowrise,Far,Far,6,5,1280,28,34,2217,1441,71250504933213863213944146160012277276799009544269904794705225451652126681476
1155,LM-21,Little Meow,Residential,Micro,Lowrise,Far,Far,10,8,1467,42,52,2207,1432,114270142730600490050303562445987500240805744819740617699792825082076806256827
1155,LM-22,Little Meow,Residential,Micro,Lowrise,Far,Far,5,4,1314,22,27,2202,1396,80989051899584456810643136177392169322620786234448460029888526467174254701125
1155,LM-24,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1293,16,20,2402,1341,106707537886833238152465969983514063963232841415596490268686821574281457666559
1155,LM-25,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1468,16,20,2376,1341,56296327132733775811690427562487158192288143234585393984118121254603622631775
1155,LM-27,Little Meow,Residential,Micro,Lowrise,Far,Far,11,9,1470,47,58,2321,1343,8594362844472165167502308181152544740576382928928377361911100055019769100971
1155,LM-28,Little Meow,Residential,Micro,Lowrise,Far,Far,8,7,1471,36,44,2293,1345,45720374804259557244775293359903222513343460605358224777506433048943529882895
1155,LM-29,Little Meow,Residential,Micro,Lowrise,Far,Far,5,4,1370,21,26,2266,1348,29337995398738522103912242322776643610513093830919829549861833290869530264309
1155,LM-30,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1321,16,20,2193,1359,48149660511996050915386871540525482670456996080267491010394349730321804501711
1155,LM-32,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1323,16,20,2185,1322,104241762249899261698210016658800487309149364169593986548932350438769246447307
1155,LM-35,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1433,16,20,2362,1282,107411876076929851198838631640226147208594385560803417363904591238970387742782
1155,LM-36,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1433,16,20,2335,1282,20235941125889499526241547827908393424838443654851717867738448866482074547575
1155,LM-39,Little Meow,Residential,Micro,Lowrise,Far,Far,4,4,1333,20,24,2253,1288,52101850357440635312679278968275320350806276058264715363748517958622161672447
1155,LM-42,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1233,16,20,2338,1203,22836698538248677077051827846489599948710629352976479768591996805317414843641
1155,LM-43,Little Meow,Residential,Micro,Lowrise,Far,Far,5,4,1247,21,26,2257,1207,83143278123014685132401618802888807713252070879435030502650803461678032216433
1155,LM-44,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1345,19,23,2333,1185,26744126347155516624175092432771637630870290270746912022580335548161363597698
1155,LM-45,Little Meow,Residential,Micro,Lowrise,Far,Far,5,4,1391,24,29,2253,1189,114836096885751643017624974634326012013342377141553539240969915462757098433493
1155,LM-50,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1311,16,20,2327,1165,92185217478453637784993383151916788579961022044245835751544529562803675009889
1155,LM-51,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1391,16,20,2249,1170,90161136001513228017388829234630764494161488739863171241078835658833199309611
1155,LM-52,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1278,16,20,2322,1146,69959092805942690278048165545246737783804716462628211936109186237092954891200
1155,LM-53,Little Meow,Residential,Micro,Lowrise,Far,Far,5,4,1391,21,26,2245,1151,85429537027525155089675935494450067490833321893061855022829548109430806193481
1155,LM-54,Little Meow,Residential,Micro,Lowrise,Far,Far,4,4,1245,20,24,2316,1127,32331797733774885396661581363867376840803098560873182334506540956157070239019
1155,LM-55,Little Meow,Residential,Micro,Lowrise,Far,Far,5,4,1391,22,27,2240,1132,62332309854147151528235425041488146880126168465683858505999164939868241401047
1155,LM-63,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1285,16,20,2235,1114,39726031221227677818320622569964687102876320026842976178710570648420278512534
1155,LM-64,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1687,16,20,2220,1059,98087209869158624379492727921517481422370826854618243999455351304998245990313
1155,LM-67,Little Meow,Residential,Micro,Lowrise,Far,Far,8,6,1465,34,42,2277,1029,85117904330783488621926898988006782431666626133355098401623659895174851637372
1155,LM-68,Little Meow,Residential,Micro,Lowrise,Far,Far,5,4,1730,21,26,2215,1034,29651331522099820781101384400282050717856752423064686251951995218883976671317
1155,LM-71,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1730,16,20,2208,1009,28278805354986545951175824734341321285225425271772561035288695838463961091802
1155,LM-83,Little Meow,Residential,Micro,Lowrise,Far,Far,3,2,1582,14,17,1802,707,15415417658550213858055856558512429050986842985895955364583216032685328202594
1155,LM-85,Little Meow,Residential,Micro,Lowrise,Far,Far,3,2,1359,14,17,1837,684,39110430010599641521314280081753648934246665858894835111833547988645822521782
1155,LM-86,Little Meow,Residential,Micro,Lowrise,Far,Far,3,2,1524,14,17,1819,696,40404158368372421535063056702292239913800414935034590806113248845574211578980
1155,LM-94,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1262,16,20,1816,605,109977858828526871894550192787154666588388826783286442477816068449043242514272
1155,LM-99,Little Meow,Residential,Micro,Lowrise,Far,Far,5,4,1642,23,28,1763,618,11254408498728252162821021428090064105183466632747095645267736183015358554656
1155,LM-197,Little Meow,Residential,Micro,Lowrise,Far,Far,3,2,1291,13,16,848,619,31604786987494988146444790530297199444840505980491605978430392300605007608545
1155,LM-234,Little Meow,Residential,Micro,Lowrise,Far,Far,4,4,1262,20,24,705,652,95989572483388040995477638901929405483655314335793973775260352665340234442380
1155,LM-235,Little Meow,Residential,Micro,Lowrise,Far,Far,4,3,1262,16,20,706,676,102531401406551190395712124085707635133588834600536211687959732577132228536347
1155,LM-249,Little Meow,Residential,Micro,Lowrise,Far,Far,6,5,1283,26,32,649,634,93583121314726097121965314667723973151244564454910854392675026210129099036998
1155,LM-250,Little Meow,Residential,Micro,Lowrise,Far,Far,6,4,1278,24,30,649,657,33304970953841312460297191068044758353717368471923946281585458163973259861972
1196,DZ-54,District ZERO,Commercial,Mini,Lowrise,Far,Medium,4,3,2547,16,20,2094,331,92220701713113707827839062558519786560610983139571133606754238361441924303432
1196,DZ-55,District ZERO,Commercial,Mini,Lowrise,Far,Medium,5,4,2487,21,26,2043,337,102664391620474940496756683260840938037013086565695921140662903404577068062521
1196,DZ-58,District ZERO,Commercial,Mini,Lowrise,Far,Medium,4,3,2551,16,20,2075,377,114979199448211181033994545570448132159366119442311273549565093599011669643073
1199,DZ-235,District ZERO,Industrial,Micro,Lowrise,Far,Medium,3,3,2151,15,18,1899,351,43777884312924161930534892023085384908978471861807635117543019556461549868031
1199,DZ-261,District ZERO,Industrial,Micro,Lowrise,Far,Medium,9,8,2369,40,49,2042,307,29406174752366557051670859133865265843527748696908059880233096610973636631544
1199,DZ-366,District ZERO,Industrial,Micro,Lowrise,Far,Medium,8,6,2197,32,40,1436,450,22088823384687294474743046758741800957474662351365635870808532126937771554196
1202,DZ-623,District ZERO,Commercial,Micro,Lowrise,Medium,Close,4,3,2070,16,20,512,257,66928958816650634873048360447754665899863275392176295426358861929387985613837
1202,DZ-632,District ZERO,Commercial,Micro,Lowrise,Medium,Close,5,4,2074,22,27,475,236,111948172369387250978949246974125950546660176057378947117951213544133637250538
1204,NS-201,North Star,Commercial,Mini,Lowrise,Far,Close,5,4,2438,22,27,1449,159,114967979091978548612807149559226624361632206068631701435102282548660378951646
1204,NS-666,North Star,Commercial,Mini,Lowrise,Far,Close,4,3,3509,16,20,2018,287,31461404449902169099789064614309818667788414539273045348944325653819117492108
1206,NS-202,North Star,Industrial,Micro,Lowrise,Far,Close,10,8,1369,44,54,1289,250,57114124030939767013604761285828726342577515671335701864414858465642281231528
1207,TG-364,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,3040,16,20,4183,590,73600152783766025612842329810910232604010335403627564563945842968447349823231
1207,TG-388,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,3199,16,20,4294,355,79924182444429690616332488335682727615906148262432790494318027453176346008739
1207,TG-438,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,6,5,2665,25,31,3813,464,42950571577929634339046262350673093794221303357138432872663719706719262902273
1207,TG-443,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,2886,16,20,3797,451,93633995835347169832174682173935057244911128664725966355816947724864924218844
1207,TG-446,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,3355,17,21,3949,343,55080261995804798854508738723359828018198985235602509026949110429504221943677
1207,TG-452,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,3107,16,20,3781,438,9571166907399802772191523018851868744519756818549445096853636424400457177204
1207,TG-457,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,7,6,2757,32,39,3907,342,109219018512235971731409164913912339375165546701047966642762625378494321963994
1207,TG-458,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,6,5,3328,25,31,3765,424,4616338024858239698298756891324694810261339646191700517548703163431676815189
1207,TG-462,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,3353,16,20,3750,409,96673681498092589217663046651641489534001810345119283171067504159888211444504
1207,TG-470,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,3017,16,20,3761,319,87926985831603328370474580777189446429045370239225224525869889029850058836850
1207,TG-524,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,2496,16,20,2512,538,8195505651795923089411123724875908281184119561223570959509729227807364898837
1207,TG-525,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,7,6,2495,30,37,2491,538,27841035653742722391299523753041002918935788362889727139741942188547442631239
1207,TG-526,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,2496,16,20,2470,535,67627248458441629567015231013653675705076478552859574948071555095170695101606
1207,TG-553,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,2892,16,20,3018,384,70596530061287177807231239425263295881672696547058081020904640157240894550450
1207,TG-554,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,3008,16,20,2975,410,10118486581640740269075699324898933858639279371699638378195947516640081422020
1207,TG-555,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,3014,16,20,2932,440,100336078913927313957241627786195418451628786144161644369388485609115151766919
1207,TG-556,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,3020,18,22,2889,464,27562476464675162570879267521214122738094545895397355298659576496706827797467
1207,TG-570,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,2644,16,20,2152,391,110602022651801432916467665212024481257922886359461327523814846325449121574548
1207,TG-571,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,2648,16,20,2138,394,34571110002025833241174577913979068963693506814822880993471384627425988519128
1207,TG-572,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,2648,16,20,2120,390,8560521618133886183242743424223533975291694109397806990088796114614349754838
1207,TG-573,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,2649,16,20,2102,388,71633091674719600082160362505695948466064443162355245013601585089864233787866
1207,TG-574,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,2599,17,21,2085,387,115686374896759236277050674523381272600250898077046989286105816188600477986973
1207,TG-575,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,2948,16,20,2942,363,10161781834704359625121503435138870448862180417525664293883448703712683679304
1207,TG-576,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,2948,18,22,2898,391,43757353690658654214374427703090171591006591463885339223574340498527575484259
1207,TG-577,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,2948,16,20,2855,414,39870619957173384778185395233525231396413976152959919359156345341643301094913
1207,TG-578,Tranquility Gardens,Commercial,Mini,Lowrise,Far,Medium,4,3,2948,16,20,2812,410,78072442475736388372111540592945995023632857005607304166391906125386461146924
1233,NS-247,North Star,Industrial,Nano,Lowrise,Medium,Far,8,7,919,36,44,483,741,17687435505175671033257379035350658559306307859492948988921110785791023458151
1233,NS-361,North Star,Industrial,Nano,Lowrise,Medium,Far,10,8,1007,44,54,540,828,4539456574259052920855866578445076472271297050587193730129813588887514155548
1233,NS-495,North Star,Industrial,Nano,Lowrise,Medium,Far,10,8,963,43,53,484,1037,43997138712032678110822832441625171071285852216571788423201870193171276626778
1233,NS-639,North Star,Industrial,Nano,Lowrise,Medium,Far,9,7,1091,38,47,517,1359,55043526793136280313535144245608152418014896316566251794440713735222324404048
1233,NS-742,North Star,Industrial,Nano,Lowrise,Medium,Far,10,8,1049,44,54,556,1014,3012875987931104242811515386539485430822594934260424109706638099585471398980
1233,NS-779,North Star,Industrial,Nano,Lowrise,Medium,Far,11,9,1049,47,58,440,993,40687517724237688538395445883728019238984075487834334869521475963391634819215
1239,DZ-388,District ZERO,Residential,Mini,Lowrise,Far,Close,4,3,2512,16,20,1754,197,81210335215331031594626405979316156879420359411797346221893550397774083207036
1240,HH-7,Haven Heights,Commercial,Mini,Lowrise,Far,Close,4,4,2420,20,24,824,254,42414018029108681745519380027956662332242515978729143951436379502877863644135
1240,HH-53,Haven Heights,Commercial,Mini,Lowrise,Far,Close,4,3,2435,16,20,1195,186,73732662755318679907063673724208159475292864857112102939662257532146552841053
1240,HH-256,Haven Heights,Commercial,Mini,Lowrise,Far,Close,4,4,2620,20,24,2199,154,10083737639710224209434258290211149938724154436789783949141403743324805776950
1240,HH-257,Haven Heights,Commercial,Mini,Lowrise,Far,Close,4,3,2647,16,20,2075,135,88138736801215472027607835407914634336880497962920517054286032597911441532667
1240,HH-262,Haven Heights,Commercial,Mini,Lowrise,Far,Close,4,3,2620,16,20,2183,149,103926227420848813309701414139708322454506238115634651218044990443062194869405
1240,HH-263,Haven Heights,Commercial,Mini,Lowrise,Far,Close,8,6,2728,33,41,2067,153,61939057051530640139317332255633351746955201279369782164857715384303437156006
1240,HH-279,Haven Heights,Commercial,Mini,Lowrise,Far,Close,6,5,2544,28,34,2059,172,78625676488929514745411797068324773997227996360628301702232831786029993729763
1240,HH-384,Haven Heights,Commercial,Mini,Lowrise,Far,Close,4,3,2537,16,20,1783,265,97322277229957368232687658326312656276548846129436110623341584454840890007972
1240,HH-468,Haven Heights,Commercial,Mini,Lowrise,Far,Close,4,3,2665,16,20,2473,205,105341320313160221088509874259239420853811667549268754845323290281345171694810
1240,HH-498,Haven Heights,Commercial,Mini,Lowrise,Far,Close,4,3,2737,16,20,2444,279,14855691726866611915959341732894554499231387622723205078143716675971182954699
1240,HH-660,Haven Heights,Commercial,Mini,Lowrise,Far,Close,4,3,3108,16,20,1593,186,57167200403096652299977734423772608697419991592561330615345151717198425458663
1240,HH-815,Haven Heights,Commercial,Mini,Lowrise,Far,Close,4,3,2426,16,20,1737,269,52107290064830598540151019114042284717304529997397324967412843225168458753883
1240,HH-817,Haven Heights,Commercial,Mini,Lowrise,Far,Close,4,3,2621,16,20,1748,249,47042596181656839562205316129788089649538801194731885414424807991652454764596
1240,HH-818,Haven Heights,Commercial,Mini,Lowrise,Far,Close,4,3,2835,16,20,1593,252,80141357525328018556230871598195052211760744769625921962840235567475565894483
1240,HH-856,Haven Heights,Commercial,Mini,Lowrise,Far,Close,4,4,2626,20,24,766,293,77830421776265477162237961907650645804696042563383685113407868034824827081675
1240,HH-953,Haven Heights,Commercial,Mini,Lowrise,Far,Close,3,3,2665,15,18,1167,255,57764576568372154670000490970355044560215751717502844985444988208373363549420
1256,HH-41,Haven Heights,Industrial,Micro,Lowrise,Far,Close,8,7,2383,35,43,1020,264,44989304419788638227477127431940392535279540731044588067591599193792463085896
1257,SM-544,Space Mind,Industrial,Nano,Lowrise,Far,Medium,7,6,1039,32,39,1338,320,67277646878283429140616770089217960245871612480810878115874794314018389390298
1258,SM-57,Space Mind,Commercial,Mini,Lowrise,Far,Far,4,4,2798,20,24,1781,721,104464093081534737210831059374538514532269264753199848261160807409903185077615
1258,SM-58,Space Mind,Commercial,Mini,Lowrise,Far,Far,4,3,2804,18,22,1732,767,103026231451924810922605949231362192833306978960599843737643837335932684672750
1258,SM-60,Space Mind,Commercial,Mini,Lowrise,Far,Far,3,3,2705,15,18,1633,859,22147619591043085693054276757955778283915131195001140752660549071072924251585
1258,SM-71,Space Mind,Commercial,Mini,Lowrise,Far,Far,4,3,2738,18,22,1675,836,74661286085909021569601584287945667618508627478406369338860565271916950855069
1258,SM-72,Space Mind,Commercial,Mini,Lowrise,Far,Far,3,3,2631,15,18,1625,878,50293010452345377642676202989104414050224697009680949887676700331123203304362
1258,SM-73,Space Mind,Commercial,Mini,Lowrise,Far,Far,4,3,2630,17,21,1775,745,73738798091594242678747431250074864226058381933165438175480745083109676256778
1258,SM-225,Space Mind,Commercial,Mini,Lowrise,Far,Far,5,4,3344,24,29,903,1023,86384109929514412467589124601417890541103156845056370145038259601415644119735
1258,SM-491,Space Mind,Commercial,Mini,Lowrise,Far,Far,4,3,2419,19,23,738,921,12451455592394136238108289565017723261792691882404659418977135694298277122734
1258,SM-516,Space Mind,Commercial,Mini,Lowrise,Far,Far,7,6,3110,30,37,671,985,71814101039054098823595973372199706466614138368119442633478702064300485380748
1258,SM-519,Space Mind,Commercial,Mini,Lowrise,Far,Far,4,3,3108,16,20,644,1015,51148639848782463472987567520696342238621757593145324661901115131683194330225
1258,SM-540,Space Mind,Commercial,Mini,Lowrise,Far,Far,4,3,3019,19,23,609,1055,10872803873373011380106364462618174982728101120558207231013361515918244099854
1269,SM-41,Space Mind,Industrial,Micro,Lowrise,Far,Far,7,5,1865,28,35,1791,691,18343518998818128188226713567176829401387930841303485763343228056227368542611
1269,SM-81,Space Mind,Industrial,Micro,Lowrise,Far,Far,9,7,2324,37,46,1679,760,52232604285435765105837138676404032669056343216624415419449024742339016280871
1269,SM-193,Space Mind,Industrial,Micro,Lowrise,Far,Far,8,7,1729,36,44,966,987,113541171803122670309087668980077360024009161892722528394810791444311018074056
1269,SM-325,Space Mind,Industrial,Micro,Lowrise,Far,Far,10,8,1403,42,52,865,972,86464309464125120580759788807447531074876716169457756094458474205682277706979
1269,SM-379,Space Mind,Industrial,Micro,Lowrise,Far,Far,6,5,2375,27,33,791,1051,4067502279244131149143336479084798421903675835971743755606696127426640558634
1274,LM-9,Little Meow,Residential,Nano,Lowrise,Far,Far,4,3,1046,17,21,2328,1309,58054558835969042684130920555948558848122681641684618739062723701925100484943
1274,LM-23,Little Meow,Residential,Nano,Lowrise,Far,Far,2,2,302,12,14,2179,1397,112060859231679943244415034573294631756242802541841548086980937604951436046631
1274,LM-31,Little Meow,Residential,Nano,Lowrise,Far,Far,4,3,466,16,20,2169,1360,21727543867505737937929943315627050955931853569434483053832834564337050160357
1274,LM-33,Little Meow,Residential,Nano,Lowrise,Far,Far,4,3,630,16,20,2158,1324,7906503160233491815490294101093597167780701894740992194289270690706282585923
1274,LM-34,Little Meow,Residential,Nano,Lowrise,Far,Far,4,3,1101,16,20,2387,1281,76834803375550480497422173114304254479286072874999425439286432616784815408645
1274,LM-48,Little Meow,Residential,Nano,Lowrise,Far,Far,5,4,704,21,26,2130,1198,54658624280218779464142533255253265453220651218563817422432994710265956268235
1274,LM-49,Little Meow,Residential,Nano,Lowrise,Far,Far,4,3,941,16,20,2114,1203,2173946904281683214921793183536711638800022429031657645806114566429836545732
1274,LM-56,Little Meow,Residential,Nano,Lowrise,Far,Far,4,3,609,16,20,2155,1140,95413455393409362432889130823636136425952099833851311171450272768753686911129
1274,LM-57,Little Meow,Residential,Nano,Lowrise,Far,Far,4,3,718,16,20,2143,1141,22534270497377570991171699792803866592823889689543476162723190225958019782157
1274,LM-58,Little Meow,Residential,Nano,Lowrise,Far,Far,5,4,717,23,28,2130,1141,113957847560668245558224356587092004413964589440079397438524136327863085432325
1274,LM-59,Little Meow,Residential,Nano,Lowrise,Far,Far,4,3,716,16,20,2117,1142,74903187333275056116272044685085984005645644561054268062622049426903933117061
1274,LM-60,Little Meow,Residential,Nano,Lowrise,Far,Far,7,6,714,32,39,2104,1143,20704268606759589705300795455755050237766934609614961670063742736750076999089
1274,LM-65,Little Meow,Residential,Nano,Lowrise,Far,Far,5,4,831,22,27,2125,1067,51787169990241824405077981719340893015023732039134930115925277572735168179587
1274,LM-66,Little Meow,Residential,Nano,Lowrise,Far,Far,4,3,765,16,20,2090,1069,47213248741116698951451811523441515364138752042375616661529633461595671031981
1274,LM-69,Little Meow,Residential,Nano,Lowrise,Far,Far,4,3,874,17,21,2120,1043,21009814863807760201552010689291065987608801371635169628250255124909936510271
1274,LM-72,Little Meow,Residential,Nano,Lowrise,Far,Far,4,3,874,18,22,2114,1019,15700392193355885146502925324912947724396057063033633110999237631872476789659
1274,LM-73,Little Meow,Residential,Nano,Lowrise,Far,Far,4,3,613,17,21,2084,1021,30919266282882243650245779422646374419681599836664800863853930921620772826221
1274,LM-74,Little Meow,Residential,Nano,Lowrise,Far,Far,6,5,874,28,34,2108,994,107647367609396449954188297267731764979216461913271747512941060071861031362947
1274,LM-76,Little Meow,Residential,Nano,Lowrise,Far,Far,6,5,1098,28,34,2257,979,56504313267504781320213581695732274560253235572378648166840653010561817440433
1274,LM-78,Little Meow,Residential,Nano,Lowrise,Far,Far,6,5,701,27,33,2249,957,46409825802978493489474656658760372243029905787057627902411876917442926638042
1274,LM-80,Little Meow,Residential,Nano,Lowrise,Far,Far,4,3,874,16,20,2102,970,57159955118806062554615246390835246557401278670908582116621966401802344953208
1274,LM-84,Little Meow,Residential,Nano,Lowrise,Far,Far,3,2,1195,14,17,1855,674,101191613567426405619777642386530349408550799416781629288658150578039740691166
1274,LM-88,Little Meow,Residential,Nano,Lowrise,Far,Far,3,3,782,15,18,1888,658,57414420940295125388513434524974570847427077310101510032462715524399035608160
1274,LM-89,Little Meow,Residential,Nano,Lowrise,Far,Far,3,3,1030,15,18,1872,663,87639220063388504337057372533006355645228248388911268255921124299632857883717
1274,LM-93,Little Meow,Residential,Nano,Lowrise,Far,Far,3,3,1118,15,18,1834,601,104425505852299050790952704048421789625037419857531959038469677991075179363431
1274,LM-153,Little Meow,Residential,Nano,Lowrise,Far,Far,3,2,671,12,15,911,658,84989138078489092787117676761344624155365663347170068898192809994567968374920
1274,LM-154,Little Meow,Residential,Nano,Lowrise,Far,Far,3,3,510,15,18,851,715,47006317585345266202025604572752902104112903266032686656164602037982173917261
1274,LM-160,Little Meow,Residential,Nano,Lowrise,Far,Far,3,3,649,15,18,847,711,20453984022118187895924529155402653240823640267801887244103051634496158058524
1274,LM-161,Little Meow,Residential,Nano,Lowrise,Far,Far,3,2,859,12,15,906,648,112914907992175509954386790481472746565111112592427524250556233849334773815397
1274,LM-162,Little Meow,Residential,Nano,Lowrise,Far,Far,3,3,692,15,18,843,708,62294049908334468196059947817713967000767066036611215154109819234578300551222
1274,LM-163,Little Meow,Residential,Nano,Lowrise,Far,Far,3,3,736,15,18,839,704,69621670101240387898371732634227801316910114319537433596198214721178070420252
1274,LM-173,Little Meow,Residential,Nano,Lowrise,Far,Far,3,2,857,14,17,896,638,48803530372509075773715519344521088428969755451865227442778278835824227141413
1274,LM-174,Little Meow,Residential,Nano,Lowrise,Far,Far,3,2,780,12,15,835,702,6632378299720814946027865512103865848897825111342821958312146463768217632183
1274,LM-175,Little Meow,Residential,Nano,Lowrise,Far,Far,3,2,815,14,17,888,633,63219888416868007030616294212637832355451625923815371643957892928107133488927
1274,LM-176,Little Meow,Residential,Nano,Lowrise,Far,Far,3,2,752,14,17,832,699,65208109404075590095725370433728563214445231745591983267469599470480216323135
1274,LM-223,Little Meow,Residential,Nano,Lowrise,Far,Far,3,3,354,15,18,730,700,40367525578838996819655459738395454768238616810761424437723566113992670545696
1274,LM-251,Little Meow,Residential,Nano,Lowrise,Far,Far,3,3,1097,15,18,652,702,41207116577020253711164676937541578588776213060958994756748385890716181613919
1311,NS-256,North Star,Industrial,Nano,Lowrise,Far,Close,8,7,1091,36,44,1573,292,76861324104531510602737512601347043069040051420987553208383545929461085773197
1311,NS-464,North Star,Industrial,Nano,Lowrise,Far,Close,9,7,1049,38,47,1749,269,39446626193544539029641361210516719223435491666606041887908694228301126202283
1313,DZ-73,District ZERO,Commercial,Mini,Lowrise,Far,Far,3,3,2499,15,18,1429,603,109252916613858383515175190090508689591916361099994651107231605618272921808740
1313,DZ-77,District ZERO,Commercial,Mini,Lowrise,Far,Far,4,3,2498,16,20,1422,622,7508280073270716060411640057035504258636459846680897528682348388779316682786
1313,DZ-78,District ZERO,Commercial,Mini,Lowrise,Far,Far,4,3,2496,17,21,1298,666,5820339171332143667760272660135745825497951275458283840364533278172878068954
1313,DZ-80,District ZERO,Commercial,Mini,Lowrise,Far,Far,7,6,2495,30,37,1413,641,73223869840564040510588615127569676622628053002591369316264274689477252420057
1313,DZ-81,District ZERO,Commercial,Mini,Lowrise,Far,Far,4,3,2499,16,20,1291,684,63618868837287122181185015845164891081747630705675247319178920841631521422261
1313,DZ-83,District ZERO,Commercial,Mini,Lowrise,Far,Far,4,3,2493,17,21,1404,659,6805203348338372958226713169632337275009136260657089571280590135955806983961
1313,DZ-84,District ZERO,Commercial,Mini,Lowrise,Far,Far,4,3,2501,16,20,1283,701,13571145896824588068696254628804364017924739955486919466102992677222480716823
1313,DZ-131,District ZERO,Commercial,Mini,Lowrise,Far,Far,8,6,3054,33,41,880,1011,23890242212801506786208231771839526731204863562559126091221008107889432126770
1321,TG-61,Tranquility Gardens,Industrial,Nano,Lowrise,Far,Medium,9,7,1143,39,48,2399,527,58587393462380129950352053903346258865418483347740071994564878944618078563325
1321,TG-311,Tranquility Gardens,Industrial,Nano,Lowrise,Far,Medium,9,7,1103,37,46,4465,476,45540478868180434174804974640477620118812471564224215860064800094284733020221
1323,DZ-76,District ZERO,Industrial,Micro,Lowrise,Far,Far,8,6,2286,34,42,747,1038,58892646169623404919119321544791952404775064949001198419283802528196435376641
1323,DZ-116,District ZERO,Industrial,Micro,Lowrise,Far,Far,8,6,1763,32,40,966,975,61972886555992190800993065381430725961933925710258897123096280135079857118364
1323,DZ-165,District ZERO,Industrial,Micro,Lowrise,Far,Far,11,9,2334,48,59,1227,676,48093681493568331834007470263959868783414178322631940252370198246277252147053
